 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\a_in_He250torr.txt.txt

 Ion = Helium [2] , Mass = 4.001506 amu

 Target Density =  5.4743E-05 g/cm3 = 8.2354E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   3.130E-03  1.695E-06    1.88 m     78.92 mm    16.35 mm  
  11.00 MeV   2.903E-03  1.556E-06    2.21 m     91.93 mm    18.87 mm  
  12.00 MeV   2.709E-03  1.439E-06    2.57 m    104.99 mm    21.58 mm  
  13.00 MeV   2.541E-03  1.339E-06    2.95 m    118.17 mm    24.48 mm  
  14.00 MeV   2.394E-03  1.252E-06    3.35 m    131.50 mm    27.56 mm  
  15.00 MeV   2.265E-03  1.177E-06    3.78 m    145.01 mm    30.81 mm  
  16.00 MeV   2.149E-03  1.110E-06    4.23 m    158.72 mm    34.25 mm  
  17.00 MeV   2.046E-03  1.051E-06    4.71 m    172.64 mm    37.85 mm  
  18.00 MeV   1.954E-03  9.980E-07    5.21 m    186.76 mm    41.62 mm  
  20.00 MeV   1.793E-03  9.073E-07    6.28 m    240.65 mm    49.67 mm  
  22.50 MeV   1.628E-03  8.155E-07    7.74 m    317.90 mm    60.66 mm  
  25.00 MeV   1.493E-03  7.412E-07    9.35 m    391.00 mm    72.66 mm  
  27.50 MeV   1.380E-03  6.798E-07   11.09 m    462.64 mm    85.64 mm  
  30.00 MeV   1.285E-03  6.281E-07   12.96 m    533.99 mm    99.58 mm  
  32.50 MeV   1.202E-03  5.841E-07   14.98 m    605.66 mm   114.47 mm  
  35.00 MeV   1.131E-03  5.460E-07   17.12 m    677.98 mm   130.30 mm  
  37.50 MeV   1.068E-03  5.128E-07   19.39 m    751.15 mm   147.05 mm  
  40.00 MeV   1.012E-03  4.835E-07   21.80 m    825.30 mm   164.71 mm  
  45.00 MeV   9.179E-04  4.343E-07   26.98 m      1.11 m    202.75 mm  
  50.00 MeV   8.408E-04  3.945E-07   32.68 m      1.37 m    244.30 mm  
  55.00 MeV   7.767E-04  3.616E-07   38.86 m      1.63 m    289.31 mm  
  60.00 MeV   7.223E-04  3.340E-07   45.54 m      1.88 m    337.71 mm  
  65.00 MeV   6.757E-04  3.104E-07   52.69 m      2.14 m    389.43 mm  
  70.00 MeV   6.353E-04  2.900E-07   60.32 m      2.40 m    444.43 mm  
  80.00 MeV   5.684E-04  2.567E-07   76.96 m      3.36 m    564.09 mm  
  90.00 MeV   5.154E-04  2.304E-07   95.44 m      4.26 m    696.30 mm  
 100.00 MeV   4.722E-04  2.092E-07  115.71 m      5.14 m    840.72 mm  
 110.00 MeV   4.364E-04  1.916E-07  137.73 m      6.02 m    997.07 mm  
 120.00 MeV   4.061E-04  1.769E-07  161.49 m      6.90 m      1.17 m   
 130.00 MeV   3.801E-04  1.644E-07  186.94 m      7.79 m      1.34 m   
 140.00 MeV   3.576E-04  1.535E-07  214.06 m      8.69 m      1.54 m   
 150.00 MeV   3.379E-04  1.441E-07  242.82 m      9.60 m      1.74 m   
 160.00 MeV   3.206E-04  1.358E-07  273.20 m     10.53 m      1.95 m   
 170.00 MeV   3.051E-04  1.284E-07  305.17 m     11.46 m      2.17 m   
 180.00 MeV   2.912E-04  1.218E-07  338.71 m     12.42 m      2.40 m   
 200.00 MeV   2.674E-04  1.105E-07  410.38 m     16.05 m      2.90 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.8268E+02                keV / (ug/cm2) 
  1.8268E+02                MeV / (mg/cm2) 
  1.8268E+05                keV / (mg/cm2) 
  1.2143E+03                 eV / (1E15 atoms/cm2)
  1.2787E+02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
