 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\p_in_Mylar.txt.txt

 Ion = Hydrogen [1] , Mass = 1.007276 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  35.00 MeV   2.177E+00  1.008E-03    8.87 mm   360.97 um   232.09 um  
  37.50 MeV   2.059E+00  9.465E-04   10.05 mm   399.94 um   262.08 um  
  40.00 MeV   1.955E+00  8.924E-04   11.29 mm   439.43 um   293.62 um  
  45.00 MeV   1.779E+00  8.014E-04   13.97 mm   584.72 um   361.26 um  
  50.00 MeV   1.635E+00  7.278E-04   16.90 mm   721.37 um   434.80 um  
  55.00 MeV   1.516E+00  6.670E-04   20.07 mm   854.65 um   514.01 um  
  60.00 MeV   1.416E+00  6.159E-04   23.48 mm   986.86 um   598.72 um  
  65.00 MeV   1.330E+00  5.724E-04   27.12 mm     1.12 mm   688.74 um  
  70.00 MeV   1.255E+00  5.348E-04   30.98 mm     1.25 mm   783.90 um  
  80.00 MeV   1.132E+00  4.731E-04   39.36 mm     1.74 mm   989.09 um  
  90.00 MeV   1.035E+00  4.246E-04   48.59 mm     2.18 mm     1.21 mm  
 100.00 MeV   9.565E-01  3.854E-04   58.63 mm     2.62 mm     1.45 mm  
 110.00 MeV   8.913E-01  3.531E-04   69.44 mm     3.05 mm     1.71 mm  
 120.00 MeV   8.365E-01  3.259E-04   81.01 mm     3.47 mm     1.99 mm  
 130.00 MeV   7.897E-01  3.027E-04   93.30 mm     3.90 mm     2.28 mm  
 140.00 MeV   7.493E-01  2.828E-04  106.28 mm     4.33 mm     2.58 mm  
 150.00 MeV   7.140E-01  2.653E-04  119.94 mm     4.76 mm     2.90 mm  
 160.00 MeV   6.829E-01  2.500E-04  134.24 mm     5.19 mm     3.23 mm  
 170.00 MeV   6.554E-01  2.364E-04  149.17 mm     5.63 mm     3.57 mm  
 180.00 MeV   6.307E-01  2.243E-04  164.71 mm     6.07 mm     3.93 mm  
 200.00 MeV   5.887E-01  2.035E-04  197.50 mm     7.68 mm     4.67 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.1584E-03                keV / (ug/cm2) 
  7.1584E-03                MeV / (mg/cm2) 
  7.1584E+00                keV / (mg/cm2) 
  1.0383E-01                 eV / (1E15 atoms/cm2)
  5.0520E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
