 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\p_in_He250torr.txt.txt

 Ion = Hydrogen [1] , Mass = 1.007276 amu

 Target Density =  5.4743E-05 g/cm3 = 8.2354E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  32.50 MeV   9.409E-05  4.088E-08  189.03 m      7.78 m      2.78 m   
  35.00 MeV   8.854E-05  3.819E-08  216.41 m      8.71 m      3.17 m   
  37.50 MeV   8.368E-05  3.585E-08  245.44 m      9.65 m      3.58 m   
  40.00 MeV   7.939E-05  3.378E-08  276.10 m     10.61 m      4.02 m   
  45.00 MeV   7.214E-05  3.031E-08  342.14 m     14.18 m      4.96 m   
  50.00 MeV   6.625E-05  2.751E-08  414.44 m     17.53 m      5.98 m   
  55.00 MeV   6.137E-05  2.519E-08  492.82 m     20.80 m      7.08 m   
  60.00 MeV   5.726E-05  2.325E-08  577.13 m     24.03 m      8.26 m   
  65.00 MeV   5.374E-05  2.160E-08  667.23 m     27.26 m      9.52 m   
  70.00 MeV   5.069E-05  2.017E-08  762.99 m     30.50 m     10.84 m   
  80.00 MeV   4.568E-05  1.783E-08  970.73 m     42.48 m     13.71 m   
  90.00 MeV   4.173E-05  1.599E-08    1.20 km    53.54 m     16.84 m   
 100.00 MeV   3.853E-05  1.450E-08    1.45 km    64.25 m     20.23 m   
 110.00 MeV   3.588E-05  1.328E-08    1.72 km    74.81 m     23.85 m   
 120.00 MeV   3.365E-05  1.225E-08    2.01 km    85.32 m     27.70 m   
 130.00 MeV   3.175E-05  1.137E-08    2.31 km    95.83 m     31.77 m   
 140.00 MeV   3.012E-05  1.062E-08    2.63 km   106.37 m     36.04 m   
 150.00 MeV   2.869E-05  9.961E-09    2.97 km   116.94 m     40.51 m   
 160.00 MeV   2.743E-05  9.382E-09    3.33 km   127.55 m     45.16 m   
 170.00 MeV   2.631E-05  8.869E-09    3.70 km   138.20 m     49.98 m   
 180.00 MeV   2.532E-05  8.411E-09    4.09 km   148.90 m     54.97 m   
 200.00 MeV   2.362E-05  7.626E-09    4.91 km   188.98 m     65.43 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.8268E+02                keV / (ug/cm2) 
  1.8268E+02                MeV / (mg/cm2) 
  1.8268E+05                keV / (mg/cm2) 
  1.2143E+03                 eV / (1E15 atoms/cm2)
  5.7407E+02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
