 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 19, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\7Li3_in_Mylar.txt

 Ion = Lithium [3] , Mass = 7.014358 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  70.00 MeV   5.451E+01  2.875E-02  722.04 um    28.31 um     7.47 um  
  80.00 MeV   4.890E+01  2.548E-02  915.68 um    39.49 um     9.39 um  
  90.00 MeV   4.443E+01  2.290E-02    1.13 mm    49.90 um    11.49 um  
 100.00 MeV   4.077E+01  2.082E-02    1.37 mm    60.06 um    13.79 um  
 110.00 MeV   3.772E+01  1.909E-02    1.62 mm    70.18 um    16.28 um  
 120.00 MeV   3.513E+01  1.764E-02    1.89 mm    80.35 um    18.95 um  
 130.00 MeV   3.290E+01  1.641E-02    2.19 mm    90.62 um    21.80 um  
 140.00 MeV   3.097E+01  1.534E-02    2.50 mm   101.02 um    24.82 um  
 150.00 MeV   2.927E+01  1.441E-02    2.83 mm   111.58 um    28.02 um  
 160.00 MeV   2.776E+01  1.358E-02    3.18 mm   122.28 um    31.38 um  
 170.00 MeV   2.642E+01  1.285E-02    3.55 mm   133.15 um    34.92 um  
 180.00 MeV   2.522E+01  1.220E-02    3.94 mm   144.19 um    38.62 um  
 200.00 MeV   2.314E+01  1.108E-02    4.77 mm   186.14 um    46.50 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.1584E-03                keV / (ug/cm2) 
  7.1584E-03                MeV / (mg/cm2) 
  7.1584E+00                keV / (mg/cm2) 
  1.0383E-01                 eV / (1E15 atoms/cm2)
  4.4376E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
